Demanda,ID,ID_Curva
celulosa_existente,1,0
azucar_existente,1,0
cemento_existente,1,0
hierro_existente,1,0
pesca_existente,1,0
acero_existente,1,0
petroquimica_existente,1,0
mineral_existente,1,0
manufactura_existente,1,0
cobre_existente,1,0
celulosa_nuevo,1,0
azucar_nuevo,1,0
cemento_nuevo,1,0
hierro_nuevo,1,0
pesca_nuevo,1,0
acero_nuevo,1,0
petroquimica_nuevo,1,0
mineral_nuevo,1,0
manufactura_nuevo,1,0
cobre_nuevo,1,0
calefaccion_biomasa_XV,1,0
calefaccion_electricidad_XV,1,6
calefaccion_gas_licuado_XV,1,0
calefaccion_gas_natural_XV,1,0
calefaccion_kerosene_XV,1,0
coccion_electricidad_XV,1,6
coccion_gas_licuado_XV,1,0
coccion_gas_natural_XV,1,0
coccion_biomasa_XV,1,0
refrigeracion_XV,1,6
ACS_gas_licuado_XV,1,0
ACS_gas_natural_XV,1,0
iluminacion_XV,1,6
otros_electricos_XV,1,6
enfriamiento_XV,1,6
calefaccion_biomasa_I,1,0
calefaccion_electricidad_I,1,6
calefaccion_gas_licuado_I,1,0
calefaccion_gas_natural_I,1,0
calefaccion_kerosene_I,1,0
coccion_electricidad_I,1,6
coccion_gas_licuado_I,1,0
coccion_gas_natural_I,1,0
refrigeracion_I,1,6
ACS_gas_licuado_I,1,0
ACS_gas_natural_I,1,0
iluminacion_I,1,6
otros_electricos_I,1,6
enfriamiento_I,1,6
calefaccion_biomasa_II,1,0
calefaccion_electricidad_II,1,6
calefaccion_gas_licuado_II,1,0
calefaccion_gas_natural_II,1,0
calefaccion_kerosene_II,1,0
coccion_electricidad_II,1,6
coccion_gas_licuado_II,1,0
coccion_gas_natural_II,1,0
refrigeracion_II,1,6
ACS_gas_licuado_II,1,0
ACS_gas_natural_II,1,0
iluminacion_II,1,6
otros_electricos_II,1,6
enfriamiento_II,1,6
calefaccion_biomasa_III,1,0
calefaccion_electricidad_III,1,6
calefaccion_gas_licuado_III,1,0
calefaccion_gas_natural_III,1,0
calefaccion_kerosene_III,1,0
coccion_electricidad_III,1,6
coccion_gas_licuado_III,1,0
coccion_gas_natural_III,1,0
refrigeracion_III,1,6
ACS_gas_licuado_III,1,0
ACS_gas_natural_III,1,0
iluminacion_III,1,6
otros_electricos_III,1,6
enfriamiento_III,1,6
calefaccion_biomasa_IV,1,0
calefaccion_electricidad_IV,1,6
calefaccion_gas_licuado_IV,1,0
calefaccion_gas_natural_IV,1,0
calefaccion_kerosene_IV,1,0
coccion_electricidad_IV,1,6
coccion_gas_licuado_IV,1,0
coccion_gas_natural_IV,1,0
refrigeracion_IV,1,6
ACS_gas_licuado_IV,1,0
ACS_gas_natural_IV,1,0
iluminacion_IV,1,6
otros_electricos_IV,1,6
enfriamiento_IV,1,6
calefaccion_biomasa_V,1,0
calefaccion_electricidad_V,1,6
calefaccion_gas_licuado_V,1,0
calefaccion_gas_natural_V,1,0
calefaccion_kerosene_V,1,0
coccion_electricidad_V,1,6
coccion_gas_licuado_V,1,0
coccion_gas_natural_V,1,0
refrigeracion_V,1,6
ACS_gas_licuado_V,1,0
ACS_gas_natural_V,1,0
iluminacion_V,1,6
otros_electricos_V,1,6
enfriamiento_V,1,6
calefaccion_biomasa_RM,1,6
calefaccion_electricidad_RM,1,6
calefaccion_gas_licuado_RM,1,0
calefaccion_gas_natural_RM,1,0
calefaccion_kerosene_RM,1,0
coccion_electricidad_RM,1,6
coccion_gas_licuado_RM,1,6
coccion_gas_natural_RM,1,0
refrigeracion_RM,1,6
ACS_gas_licuado_RM,1,0
ACS_gas_natural_RM,1,0
iluminacion_RM,1,6
otros_electricos_RM,1,6
enfriamiento_RM,1,6
calefaccion_biomasa_VI,1,0
calefaccion_electricidad_VI,1,6
calefaccion_gas_licuado_VI,1,0
calefaccion_gas_natural_VI,1,0
calefaccion_kerosene_VI,1,0
coccion_electricidad_VI,1,6
coccion_gas_licuado_VI,1,0
coccion_gas_natural_VI,1,0
coccion_biomasa_VI,1,0
refrigeracion_VI,1,6
ACS_gas_licuado_VI,1,0
ACS_gas_natural_VI,1,0
iluminacion_VI,1,0
otros_electricos_VI,1,0
enfriamiento_VI,1,0
calefaccion_biomasa_VII,1,0
calefaccion_electricidad_VII,1,0
calefaccion_gas_licuado_VII,1,0
calefaccion_gas_natural_VII,1,0
calefaccion_kerosene_VII,1,0
coccion_electricidad_VII,1,0
coccion_gas_licuado_VII,1,0
coccion_gas_natural_VII,1,0
coccion_biomasa_VII,1,0
refrigeracion_VII,1,0
ACS_gas_licuado_VII,1,0
ACS_gas_natural_VII,1,0
iluminacion_VII,1,0
otros_electricos_VII,1,0
enfriamiento_VII,1,0
calefaccion_biomasa_VIII,1,0
calefaccion_electricidad_VIII,1,0
calefaccion_gas_licuado_VIII,1,0
calefaccion_gas_natural_VIII,1,0
calefaccion_kerosene_VIII,1,0
coccion_electricidad_VIII,1,0
coccion_gas_licuado_VIII,1,0
coccion_gas_natural_VIII,1,0
coccion_biomasa_VIII,1,0
refrigeracion_VIII,1,0
ACS_gas_licuado_VIII,1,0
ACS_gas_natural_VIII,1,0
iluminacion_VIII,1,0
otros_electricos_VIII,1,0
enfriamiento_VIII,1,0
calefaccion_biomasa_IX,1,0
calefaccion_electricidad_IX,1,0
calefaccion_gas_licuado_IX,1,0
calefaccion_gas_natural_IX,1,0
calefaccion_kerosene_IX,1,0
coccion_electricidad_IX,1,0
coccion_gas_licuado_IX,1,0
