Almacenamiento,Agno,Etapa,Bloque,Perfil
 ALMACENAMIENTO_XIII,2017,1,1,-0.1
 ALMACENAMIENTO_XIII,2017,1,2,-0.1
 ALMACENAMIENTO_XIII,2017,1,3,-0.8
 ALMACENAMIENTO_XIII,2017,1,4,0.4
 ALMACENAMIENTO_XIII,2017,1,5,0.6
 ALMACENAMIENTO_XIII,2017,2,1,-0.1
 ALMACENAMIENTO_XIII,2017,2,2,-0.1
 ALMACENAMIENTO_XIII,2017,2,3,-0.8
 ALMACENAMIENTO_XIII,2017,2,4,0.4
 ALMACENAMIENTO_XIII,2017,2,5,0.6
 ALMACENAMIENTO_XIII,2017,3,1,-0.1
 ALMACENAMIENTO_XIII,2017,3,2,-0.1
 ALMACENAMIENTO_XIII,2017,3,3,-0.8
 ALMACENAMIENTO_XIII,2017,3,4,0.4
 ALMACENAMIENTO_XIII,2017,3,5,0.6
 ALMACENAMIENTO_XIII,2017,4,1,-0.1
 ALMACENAMIENTO_XIII,2017,4,2,-0.1
 ALMACENAMIENTO_XIII,2017,4,3,-0.8
 ALMACENAMIENTO_XIII,2017,4,4,0.4
 ALMACENAMIENTO_XIII,2017,4,5,0.6
 ALMACENAMIENTO_XIII,2017,5,1,-0.1
 ALMACENAMIENTO_XIII,2017,5,2,-0.1
 ALMACENAMIENTO_XIII,2017,5,3,-0.8
 ALMACENAMIENTO_XIII,2017,5,4,0.4
 ALMACENAMIENTO_XIII,2017,5,5,0.6
 ALMACENAMIENTO_XIII,2017,6,1,-0.1
 ALMACENAMIENTO_XIII,2017,6,2,-0.1
 ALMACENAMIENTO_XIII,2017,6,3,-0.8
 ALMACENAMIENTO_XIII,2017,6,4,0.4
 ALMACENAMIENTO_XIII,2017,6,5,0.6
 ALMACENAMIENTO_XIII,2017,7,1,-0.1
 ALMACENAMIENTO_XIII,2017,7,2,-0.1
 ALMACENAMIENTO_XIII,2017,7,3,-0.8
 ALMACENAMIENTO_XIII,2017,7,4,0.4
 ALMACENAMIENTO_XIII,2017,7,5,0.6
 ALMACENAMIENTO_XIII,2017,8,1,-0.1
 ALMACENAMIENTO_XIII,2017,8,2,-0.1
 ALMACENAMIENTO_XIII,2017,8,3,-0.8
 ALMACENAMIENTO_XIII,2017,8,4,0.4
 ALMACENAMIENTO_XIII,2017,8,5,0.6
 ALMACENAMIENTO_XIII,2017,9,1,-0.1
 ALMACENAMIENTO_XIII,2017,9,2,-0.1
 ALMACENAMIENTO_XIII,2017,9,3,-0.8
 ALMACENAMIENTO_XIII,2017,9,4,0.4
 ALMACENAMIENTO_XIII,2017,9,5,0.6
 ALMACENAMIENTO_XIII,2017,10,1,-0.1
 ALMACENAMIENTO_XIII,2017,10,2,-0.1
 ALMACENAMIENTO_XIII,2017,10,3,-0.8
 ALMACENAMIENTO_XIII,2017,10,4,0.4
 ALMACENAMIENTO_XIII,2017,10,5,0.6
 ALMACENAMIENTO_XIII,2017,11,1,-0.1
 ALMACENAMIENTO_XIII,2017,11,2,-0.1
 ALMACENAMIENTO_XIII,2017,11,3,-0.8
 ALMACENAMIENTO_XIII,2017,11,4,0.4
 ALMACENAMIENTO_XIII,2017,11,5,0.6
 ALMACENAMIENTO_XIII,2017,12,1,-0.1
 ALMACENAMIENTO_XIII,2017,12,2,-0.1
 ALMACENAMIENTO_XIII,2017,12,3,-0.8
 ALMACENAMIENTO_XIII,2017,12,4,0.4
 ALMACENAMIENTO_XIII,2017,12,5,0.6
 ALMACENAMIENTO_XIII,2018,1,1,-0.1
 ALMACENAMIENTO_XIII,2018,1,2,-0.1
 ALMACENAMIENTO_XIII,2018,1,3,-0.8
 ALMACENAMIENTO_XIII,2018,1,4,0.4
 ALMACENAMIENTO_XIII,2018,1,5,0.6
 ALMACENAMIENTO_XIII,2018,2,1,-0.1
 ALMACENAMIENTO_XIII,2018,2,2,-0.1
 ALMACENAMIENTO_XIII,2018,2,3,-0.8
 ALMACENAMIENTO_XIII,2018,2,4,0.4
 ALMACENAMIENTO_XIII,2018,2,5,0.6
 ALMACENAMIENTO_XIII,2018,3,1,-0.1
 ALMACENAMIENTO_XIII,2018,3,2,-0.1
 ALMACENAMIENTO_XIII,2018,3,3,-0.8
 ALMACENAMIENTO_XIII,2018,3,4,0.4
 ALMACENAMIENTO_XIII,2018,3,5,0.6
 ALMACENAMIENTO_XIII,2018,4,1,-0.1
 ALMACENAMIENTO_XIII,2018,4,2,-0.1
 ALMACENAMIENTO_XIII,2018,4,3,-0.8
 ALMACENAMIENTO_XIII,2018,4,4,0.4
 ALMACENAMIENTO_XIII,2018,4,5,0.6
 ALMACENAMIENTO_XIII,2018,5,1,-0.1
 ALMACENAMIENTO_XIII,2018,5,2,-0.1
 ALMACENAMIENTO_XIII,2018,5,3,-0.8
 ALMACENAMIENTO_XIII,2018,5,4,0.4
 ALMACENAMIENTO_XIII,2018,5,5,0.6
 ALMACENAMIENTO_XIII,2018,6,1,-0.1
 ALMACENAMIENTO_XIII,2018,6,2,-0.1
 ALMACENAMIENTO_XIII,2018,6,3,-0.8
 ALMACENAMIENTO_XIII,2018,6,4,0.4
 ALMACENAMIENTO_XIII,2018,6,5,0.6
 ALMACENAMIENTO_XIII,2018,7,1,-0.1
 ALMACENAMIENTO_XIII,2018,7,2,-0.1
 ALMACENAMIENTO_XIII,2018,7,3,-0.8
 ALMACENAMIENTO_XIII,2018,7,4,0.4
 ALMACENAMIENTO_XIII,2018,7,5,0.6
 ALMACENAMIENTO_XIII,2018,8,1,-0.1
 ALMACENAMIENTO_XIII,2018,8,2,-0.1
 ALMACENAMIENTO_XIII,2018,8,3,-0.8
 ALMACENAMIENTO_XIII,2018,8,4,0.4
 ALMACENAMIENTO_XIII,2018,8,5,0.6
 ALMACENAMIENTO_XIII,2018,9,1,-0.1
 ALMACENAMIENTO_XIII,2018,9,2,-0.1
 ALMACENAMIENTO_XIII,2018,9,3,-0.8
 ALMACENAMIENTO_XIII,2018,9,4,0.4
 ALMACENAMIENTO_XIII,2018,9,5,0.6
 ALMACENAMIENTO_XIII,2018,10,1,-0.1
 ALMACENAMIENTO_XIII,2018,10,2,-0.1
 ALMACENAMIENTO_XIII,2018,10,3,-0.8
 ALMACENAMIENTO_XIII,2018,10,4,0.4
 ALMACENAMIENTO_XIII,2018,10,5,0.6
 ALMACENAMIENTO_XIII,2018,11,1,-0.1
 ALMACENAMIENTO_XIII,2018,11,2,-0.1
 ALMACENAMIENTO_XIII,2018,11,3,-0.8
 ALMACENAMIENTO_XIII,2018,11,4,0.4
 ALMACENAMIENTO_XIII,2018,11,5,0.6
 ALMACENAMIENTO_XIII,2018,12,1,-0.1
 ALMACENAMIENTO_XIII,2018,12,2,-0.1
 ALMACENAMIENTO_XIII,2018,12,3,-0.8
 ALMACENAMIENTO_XIII,2018,12,4,0.4
 ALMACENAMIENTO_XIII,2018,12,5,0.6
 ALMACENAMIENTO_XIII,2019,1,1,-0.1
