future_id,lever_group_1,lever_group_2,lever_group_3,lever_group_4,lever_group_5,lever_group_6,lever_group_7,lever_group_8,lever_group_9,lever_group_10,lever_group_11,lever_group_12,lever_group_13,lever_group_14,lever_group_15,lever_group_16,lever_group_17,lever_group_18,lever_group_19,lever_group_20,lever_group_21
1,0.5753635451704266,0.323833259465201,0.7456813139730422,0.8610300947653747,0.5655520386349595,0.6904299752922254,0.516205944063282,0.07292976264868188,0.38845148607597635,0.8897442924042483,0.2977444819220505,0.8749736210235701,0.28110974324186633,0.5705769834574902,0.1139400983734691,0.6109142015831258,0.8209372834412954,0.9704423798415133,0.42791924036617934,0.022777650821230063,0.510737689807644
2,0.4858251413363213,0.0821946727785422,0.898365603055864,0.51586586787325,0.09439188950033915,0.8350209836305614,0.2810630854487362,0.7485756961482142,0.6552607038768663,0.12928275811521903,0.5798045992024577,0.023926417913621326,0.8723596753243164,0.623665239609801,0.5529975248667592,0.009809219963745508,0.8449686490544781,0.5588507274365048,0.03535770741283153,0.43850414250050357,0.1951972688912891
3,0.8504854378592525,0.27729633071747184,0.2594165135984382,0.6751059008821375,0.3877608834962609,0.9853812848876693,0.7186166240996072,0.7177574306141059,0.3392070843779999,0.44236465008569764,0.9455154966294936,0.3736804771016252,0.4905387726996414,0.6618628049330153,0.03110870526254141,0.9704276342854816,0.9496401147755582,0.830731529118587,0.28620299264709775,0.276939031541825,0.30143281961417834
4,0.5204501656496338,0.2993153615974065,0.5463555021504208,0.9391930849181248,0.355598111219544,0.6735943961451055,0.9878032477104804,0.9519569595519464,0.2117506397613597,0.5999320098312818,0.5923134253183893,0.5419298410351323,0.7510157379332199,0.18808100312042503,0.38577129278406624,0.2990936070411885,0.5018281723940553,0.5856431528507088,0.9571011054960317,0.7749003345184574,0.46980966503255006
5,0.475024918863048,0.028528179230071678,0.13092143574754259,0.8084521119806132,0.6252502622313318,0.6267609716274924,0.9542758841178723,0.9632375222520538,0.062456215570046325,0.5039129241372717,0.3009173617967171,0.6920032765964367,0.09880899687766012,0.6192035799078636,0.684282463507062,0.8244280803456008,0.5313267624001136,0.45539979686842436,0.0458327604572902,0.5187234175886798,0.42253991820339243
6,0.8773046535540521,0.9895361127120857,0.05916967848079313,0.9861932322992694,0.034924202626361624,0.026953872670756135,0.4666231623176319,0.25194326897109,0.4291588976696395,0.9106108023559383,0.17645838365268532,0.2442811437810273,0.23411853285154927,0.9809258172361703,0.3181089092763404,0.2052430321338009,0.8642057493229744,0.031080964131805926,0.981912913007012,0.15661817820334153,0.38707434165476423
7,0.7230828160436916,0.597100734925201,0.6082930495359843,0.205344923956842,0.5598031122243623,0.22370850744637627,0.8981757089944998,0.9443601892098396,0.2586845544539822,0.6839016522031836,0.797508470854644,0.7213278111052397,0.20485723148530563,0.34090392246392887,0.9621462105911076,0.14406989743223328,0.5984748209865213,0.3147432047567393,0.024283879266045923,0.12298132110037696,0.8400589509909994
8,0.5475053653477064,0.3448337533540323,0.2471783080007075,0.8479695998146359,0.28016681849889513,0.8887307310316521,0.9434010067880104,0.9935501962415989,0.8478564445869733,0.31399599885934804,0.7098696925965299,0.9697585679398735,0.42656874402190914,0.2519620351343473,0.06732023921553663,0.6830482380681863,0.8756287526037376,0.5034322099628847,0.24920213504636574,0.22149490174662745,0.43106047316657004
9,0.0850795442784418,0.6869383363948541,0.09658901940360318,0.23697108871449332,0.13678993131995199,0.04807037337638797,0.6036656994836177,0.9770182481852655,0.9735396613112328,0.4708705580113874,0.2847715083483923,0.485521888325646,0.6046626614995264,0.24007484398871828,0.784651453244846,0.2116665794891622,0.087442130348225,0.6342940791123479,0.6840893990906981,0.29179722773355105,0.8989742804183937
10,0.9655934818464988,0.09931336729949541,0.39248187920425076,0.2911386580778237,0.6582927721726134,0.3956456595401358,0.7542528401461591,0.6131632318969873,0.10691942557019596,0.6365168816554935,0.5021255561961919,0.059291318828814187,0.2697521377974507,0.7800213588905729,0.8059281024760048,0.26610660499878214,0.37826246501465305,0.26156718805900936,0.5895489809365126,0.37282668429293525,0.5907078237079918
