field,sector,type,normalize_group,no_vary_q,max_val,min_range,max_range
agriculture_df_pj_per_million_gdp,agriculture,lever,,,,,
agriculture_ef_KT_co2e_per_pj,agriculture,parameter,,,,,
agriculture_frac_electric,agriculture,lever,,,1,,
bananas,agriculture,activity,,,,,
bananas_kg_co2e_ha,agriculture,lever,,,,,
bananas_value_2016_million_usd,agriculture,parameter,,,,,
bananas_yield_tonnes_ha,agriculture,parameter,,,,,
coffee,agriculture,activity,,,,,
coffee_kg_co2e_ha,agriculture,lever,,,,,
coffee_value_2016_million_usd,agriculture,parameter,,,,,
coffee_yield_tonnes_ha,agriculture,parameter,,,,,
cropland_conversion_area_ha,agriculture,activity,,,,,
fruits,agriculture,activity,,,,,
fruits_kg_co2e_ha,agriculture,lever,,,,,
fruits_value_2016_million_usd,agriculture,parameter,,,,,
fruits_yield_tonnes_ha,agriculture,parameter,,,,,
grassland_conversion_area_ha,agriculture,activity,,,,,
lever_agriculture_reduction_carbon_intensity_per_crop,agriculture,lever,,,0.9,,
others,agriculture,activity,,,,,
others_kg_co2e_ha,agriculture,lever,,,,,
others_value_2016_million_usd,agriculture,parameter,,,,,
others_yield_tonnes_ha,agriculture,parameter,,,,,
palm_oil,agriculture,activity,,,,,
palm_oil_kg_co2e_ha,agriculture,lever,,,,,
palm_oil_value_2016_million_usd,agriculture,parameter,,,,,
palm_oil_yield_tonnes_ha,agriculture,parameter,,,,,
pina,agriculture,activity,,,,,
pina_kg_co2e_ha,agriculture,lever,,,,,
pina_value_2016_million_usd,agriculture,parameter,,,,,
pina_yield_tonnes_ha,agriculture,parameter,,,,,
rice,agriculture,activity,,,,,
rice_kg_co2e_ha,agriculture,lever,,,,,
rice_value_2016_million_usd,agriculture,parameter,,,,,
rice_yield_tonnes_ha,agriculture,parameter,,,,,
sugar_cane,agriculture,activity,,,,,
sugar_cane_kg_co2e_ha,agriculture,lever,,,,,
sugar_cane_value_2016_million_usd,agriculture,parameter,,,,,
sugar_cane_yield_tonnes_ha,agriculture,parameter,,,,,
vegetables,agriculture,activity,,,,,
vegetables_kg_co2e_ha,agriculture,lever,,,,,
vegetables_value_2016_million_usd,agriculture,parameter,,,,,
vegetables_yield_tonnes_ha,agriculture,parameter,,,,,
occ_rate,all,parameter,,,,0.8,1.2
total_population,all,activity,,,,0.8,1.2
va_agriculture,all,activity,,,,0.8,1.2
va_ccv_ind,all,activity,,,,0.8,1.2
va_commercial,all,activity,,,,0.8,1.2
