strategy_id,future_id,run_id
0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,9,9
0,10,10
0,11,11
0,12,12
0,13,13
0,14,14
0,15,15
0,16,16
0,17,17
0,18,18
0,19,19
0,20,20
0,21,21
0,22,22
0,23,23
0,24,24
0,25,25
0,26,26
0,27,27
0,28,28
0,29,29
0,30,30
0,31,31
0,32,32
0,33,33
0,34,34
0,35,35
0,36,36
0,37,37
0,38,38
0,39,39
0,40,40
0,41,41
0,42,42
0,43,43
0,44,44
0,45,45
0,46,46
0,47,47
0,48,48
0,49,49
0,50,50
0,51,51
0,52,52
0,53,53
0,54,54
0,55,55
0,56,56
0,57,57
0,58,58
0,59,59
0,60,60
0,61,61
0,62,62
0,63,63
0,64,64
0,65,65
0,66,66
0,67,67
0,68,68
0,69,69
0,70,70
0,71,71
0,72,72
0,73,73
0,74,74
0,75,75
0,76,76
0,77,77
0,78,78
0,79,79
0,80,80
0,81,81
0,82,82
0,83,83
0,84,84
0,85,85
0,86,86
0,87,87
0,88,88
0,89,89
0,90,90
0,91,91
0,92,92
0,93,93
0,94,94
0,95,95
0,96,96
0,97,97
0,98,98
0,99,99
0,100,100
0,101,101
0,102,102
0,103,103
0,104,104
0,105,105
0,106,106
0,107,107
0,108,108
0,109,109
0,110,110
0,111,111
0,112,112
0,113,113
0,114,114
0,115,115
0,116,116
0,117,117
0,118,118
0,119,119
0,120,120
0,121,121
0,122,122
0,123,123
0,124,124
0,125,125
0,126,126
0,127,127
0,128,128
0,129,129
0,130,130
0,131,131
0,132,132
0,133,133
0,134,134
0,135,135
0,136,136
0,137,137
0,138,138
0,139,139
0,140,140
0,141,141
0,142,142
0,143,143
0,144,144
0,145,145
0,146,146
0,147,147
0,148,148
0,149,149
0,150,150
0,151,151
0,152,152
0,153,153
0,154,154
0,155,155
0,156,156
0,157,157
0,158,158
0,159,159
0,160,160
0,161,161
0,162,162
0,163,163
0,164,164
0,165,165
0,166,166
0,167,167
0,168,168
0,169,169
0,170,170
0,171,171
0,172,172
0,173,173
0,174,174
0,175,175
0,176,176
0,177,177
0,178,178
0,179,179
0,180,180
0,181,181
0,182,182
0,183,183
0,184,184
0,185,185
0,186,186
0,187,187
0,188,188
0,189,189
0,190,190
0,191,191
0,192,192
0,193,193
0,194,194
0,195,195
0,196,196
0,197,197
0,198,198
0,199,199
0,200,200
0,201,201
0,202,202
0,203,203
0,204,204
0,205,205
0,206,206
0,207,207
0,208,208
0,209,209
0,210,210
0,211,211
0,212,212
0,213,213
0,214,214
0,215,215
0,216,216
0,217,217
0,218,218
0,219,219
0,220,220
0,221,221
0,222,222
0,223,223
0,224,224
0,225,225
0,226,226
0,227,227
0,228,228
0,229,229
0,230,230
1,0,231
1,1,232
1,2,233
1,3,234
1,4,235
1,5,236
1,6,237
1,7,238
1,8,239
1,9,240
1,10,241
1,11,242
1,12,243
1,13,244
1,14,245
1,15,246
1,16,247
1,17,248
1,18,249
1,19,250
1,20,251
1,21,252
1,22,253
1,23,254
1,24,255
1,25,256
1,26,257
1,27,258
1,28,259
1,29,260
1,30,261
1,31,262
1,32,263
1,33,264
1,34,265
1,35,266
1,36,267
1,37,268
1,38,269
1,39,270
1,40,271
1,41,272
1,42,273
1,43,274
1,44,275
1,45,276
1,46,277
1,47,278
1,48,279
1,49,280
1,50,281
1,51,282
1,52,283
1,53,284
1,54,285
1,55,286
1,56,287
1,57,288
1,58,289
1,59,290
1,60,291
1,61,292
1,62,293
1,63,294
1,64,295
1,65,296
1,66,297
1,67,298
1,68,299
1,69,300
1,70,301
1,71,302
1,72,303
1,73,304
1,74,305
1,75,306
1,76,307
1,77,308
1,78,309
1,79,310
1,80,311
1,81,312
1,82,313
1,83,314
1,84,315
1,85,316
1,86,317
1,87,318
1,88,319
1,89,320
1,90,321
1,91,322
1,92,323
1,93,324
1,94,325
1,95,326
1,96,327
1,97,328
1,98,329
1,99,330
1,100,331
1,101,332
1,102,333
1,103,334
1,104,335
1,105,336
1,106,337
1,107,338
1,108,339
1,109,340
1,110,341
1,111,342
1,112,343
1,113,344
1,114,345
1,115,346
1,116,347
1,117,348
1,118,349
1,119,350
1,120,351
1,121,352
1,122,353
1,123,354
1,124,355
1,125,356
1,126,357
1,127,358
1,128,359
1,129,360
1,130,361
1,131,362
1,132,363
1,133,364
1,134,365
1,135,366
1,136,367
1,137,368
1,138,369
1,139,370
1,140,371
1,141,372
1,142,373
1,143,374
1,144,375
1,145,376
1,146,377
1,147,378
1,148,379
1,149,380
1,150,381
1,151,382
1,152,383
1,153,384
1,154,385
1,155,386
1,156,387
1,157,388
1,158,389
1,159,390
1,160,391
1,161,392
1,162,393
1,163,394
1,164,395
1,165,396
1,166,397
1,167,398
1,168,399
1,169,400
1,170,401
1,171,402
1,172,403
1,173,404
1,174,405
1,175,406
1,176,407
1,177,408
1,178,409
1,179,410
1,180,411
1,181,412
1,182,413
1,183,414
1,184,415
1,185,416
1,186,417
1,187,418
1,188,419
1,189,420
1,190,421
1,191,422
1,192,423
1,193,424
1,194,425
1,195,426
1,196,427
1,197,428
1,198,429
1,199,430
1,200,431
1,201,432
1,202,433
1,203,434
1,204,435
1,205,436
1,206,437
1,207,438
1,208,439
1,209,440
1,210,441
1,211,442
1,212,443
1,213,444
1,214,445
1,215,446
1,216,447
1,217,448
1,218,449
1,219,450
1,220,451
1,221,452
1,222,453
1,223,454
1,224,455
1,225,456
1,226,457
1,227,458
1,228,459
1,229,460
1,230,461
